tenantID,slo_type,eval_period,sla_func_type,param1,param2,param3,...
1,endurance,5000,APWL,0.0,0.0,0.1,0.0,0.02
2,endurance,5000,APWL,0.0,0.0,0.1,0.0,0.02
5,endurance,5000,APWL,0.0,0.0,0.1,0.0,0.006
6,endurance,5000,APWL,0.0,0.0,0.1,0.0,0.006
7,endurance,5000,APWL,0.0,0.0,0.1,0.0,0.006
8,endurance,5000,APWL,0.0,0.0,0.1,0.0,0.006
13,endurance,5000,APWL,0.0,0.0,0.1,0.0,0.001
14,endurance,5000,APWL,0.0,0.0,0.1,0.0,0.001
15,endurance,5000,APWL,0.0,0.0,0.1,0.0,0.001
16,endurance,5000,APWL,0.0,0.0,0.1,0.0,0.001
17,endurance,5000,APWL,0.0,0.0,0.1,0.0,0.001
18,endurance,5000,APWL,0.0,0.0,0.1,0.0,0.001
19,endurance,5000,APWL,0.0,0.0,0.1,0.0,0.001
20,endurance,5000,APWL,0.0,0.0,0.1,0.0,0.001
